model,accuracy_validation,macro_f1_validation,accuracy_test,macro_f1_test,training_time_seconds,validation_prediction_time_seconds,test_prediction_time_seconds,test_error_rate
Extra-Trees,0.9608,0.9604291168798429,0.9613,0.9609536033690877,3.6878421000001254,0.09455059999891091,0.20493579999310896,0.03869999999999996
Random Forest,0.957,0.9565255442067245,0.9572,0.9568921462955743,3.61207679999643,0.09398330000112765,0.18325080000795424,0.04279999999999995
Hard Voting,0.9454,0.9446238294788321,0.9493,0.9488215891442561,0.0,0.36945790000027046,0.7273489000072004,0.05069999999999997
Soft Voting,0.9338,0.9328636374343295,0.9347,0.9339668237057872,0.0,0.24699430000327993,0.4765975000045728,0.06530000000000002
Linear SVM-like SGD,0.9062,0.9052384814698125,0.9104,0.9096680619939781,109.20419699999911,0.05847109999740496,0.11228279999340884,0.08960000000000001
Logistic Regression,0.8882,0.8868257132240334,0.8923,0.8910411209556797,19.697513500010245,0.07323650000034831,0.12583840001025237,0.10770000000000002
